title:あいしあう【愛合】	type:［新項目］	date:2012年10月03日	citation:そして二人の魂は、不識（しらず）に温和に愛し合ふ	book:中原中也詩集/単行本/1981年/中原中也/（青空文庫）/	explanation:〔他ワ五〕互いに愛する。	comment:コメント：もう一つの語釈のために。	reply:第２版では、立項されませんでした。
title:ながしみる【流見】	type:［新項目］	date:2013年02月16日	citation:「ほぅら、イヤじゃないそうですわよ?」と、かれんさんはバカにしたような半眼で、姫宮さんを流し見る。	book:名探偵失格な彼女/単行本/2008年/伏見 つかさ/78/ビジュアルアーツ	explanation:〔他マ上一〕ふと目をやるように、ちらっと見る。	comment:コメント：もうひとつの意味と重なるところが大きいかもしれませんが。	reply:第２版では、立項されませんでした。
title:ながしみる【流見】	type:［新項目］	date:2013年02月16日	citation:そのためにも、普段から軽く流し見るだけでもかまいませんので、コンピュータ内の起動スクリプトや設定ファイルなどのシステムファイルに目を通すよう心がけてください。	book:不正アクセス調査ガイド/単行本/2002年/渡辺勝弘, 伊原秀明/68/オライリー・ジャパン	explanation:〔他マ上一〕ざっと目を通す。	comment:コメント：「テレビを流し見る」のような用例もあり、微妙な違いがあるようにも思えますが、とりあえず。	reply:第２版では、立項されませんでした。
title:ながれながれる【流流】	type:［新項目］	date:2013年02月16日	citation:彼等は何時しか窮乏のドン底に陷り、殆ど皆郷里にも居堪らずなつて、他郷の空へ流れ流れたものだ。	book:切支丹の復活/単行本/1928年/浦川 和三郎/29/日本カトリック刊行会	explanation:〔自ラ下一〕さすらう。	comment:コメント：「ゆきゆく」と似ています。	reply:第２版では、この語形は立項されませんでした。
title:なきくれる【泣暮】	type:［新項目］	date:2013年02月16日	citation:彼女は悲しみ 泣き暮れて	book:ジャータカ物語 1/単行本/1988年/仏教説話大系編集委員会/29/鈴木出版	explanation:〔自ラ下一〕ひたすらに泣く。	comment:コメント：「泣き暮らす」とはニュアンスの違いがあるように感じます。	reply:第２版では、この語形は立項されませんでした。
title:なきねいる【泣寝入】	type:［新項目］	date:2013年02月16日	citation:何しろ老公の計らひであるから佐幕派でもたヾ泣き寝入るより外なかつたのである。	book:奄美大島と大西郷/単行本/1927年/昇曙夢/4/春陽堂	explanation:〔自ラ五〕不当な仕打ちを受けながら、相手の力を恐れてしかたなくあきらめる。泣き寝入りする。	comment:コメント：とりあえず。	reply:第２版では、この語形では立項されませんでした。
title:なぐりかつ【殴勝】	type:［新項目］	date:2013年02月16日	citation:はたしてどちらが殴り勝つのか。	book:マイコミ囲碁ブックス 碁は殴るか 構えるか/単行本/2011年/王 銘[王宛]/73/毎日コミュニケーションズ	explanation:〔他タ五〕殴り合って勝つ。また比喩的に、力勝負に勝つ。	comment:コメント：ここでは比喩的な意味です。	reply:第２版では、立項されませんでした。
title:ちからしょうぶ【力勝負】	type:［新項目］	date:2013年02月16日	citation:このようにある程度体力が弱るまで、魚と正面切っての力勝負は避けます。	book:超明解阿波釣法: 名手が大公開するメジナ釣り上達法/単行本/2000年/小里 哲也/160/つり人社	explanation:〔名〕力任せのたたかい。	comment:コメント：「〜勝負」は「〜による勝負」という意味が一般にあるのですが（「知恵勝負」など）、「力勝負」はよく使われるものだと思います。	reply:第２版では、立項されませんでした。
title:なぐりこわす【殴壊】	type:［新項目］	date:2013年02月16日	citation:土間のかまどや水屋を殴り壊し	book:中上健次全集: 初期小説集/単行本/1995年/中上 健次/349/集英社	explanation:〔他サ五〕殴って壊す。たたき壊す。	comment:コメント：そのままの意味ですが、とりあえず。OCR 結果より。	reply:第２版では、立項されませんでした。
title:なぐりまける【殴負】	type:［新項目］	date:2013年02月16日	citation:だから、私は、ボクサーに殴り負けてもみずからを誇れる。	book:超訳古代ローマ三賢人の言葉/単行本/2012年/キケロ(著), セネカ(著), マルクス・アウレリウス(著), 長尾 剛 (翻訳), 金森 誠也 (翻訳) /52/PHP研究所	explanation:〔自カ下一〕殴り合いに負ける。	comment:コメント：「殴り勝つ」同様、比喩的な意味もあると思いますが、とりあえず。	reply:第２版では、立項されませんでした。
title:けりこわす【蹴壊】	type:［新項目］	date:2013年02月16日	citation:そう叫んだ僕は、母が慎重に積み上げていった砂山を一思いに蹴り壊した。	book:大人になれなかった「僕」に/単行本/2005年/田森 蒼羽/110/文芸社	explanation:〔他サ五〕足で蹴って壊す。	comment:コメント：そのままの意味ですが、とりあえず。	reply:第２版では、立項されませんでした。
title:なげあてる【投当】	type:［新項目］	date:2013年02月16日	citation:球を投げ当てゝ取った椰子の実をその場で叩き割り、	book:巴里祭・河明り/単行本/1992年/岡本 かの子/（青空文庫）/講談社	explanation:〔他タ下一〕物をほうって当てる。投げて当てる。	comment:コメント：そのままの意味ですが。	reply:第２版では、立項されませんでした。
title:なげいそぐ【投急】	type:［新項目］	date:2013年02月16日	citation:足を上げたらステップし、体重を前方に移動させて投球しますが、投げ急いで、早く左肩を開いてしまうと、バッターからボールが見やすくなるばかりか、力のないボ―ルを投げてしまうことになります。	book:少年野球コーチング基本と練習法/単行本/2003年/本間 正夫/74/西東社	explanation:〔自ガ五〕早くしようとあせって投げる。	comment:コメント：「生き急ぐ」と似た構造です。「動詞連用形+急ぐ」は最近増えているように感じます。	reply:第２版では、立項されませんでした。
title:かきいそぐ【書急】	type:［新項目］	date:2013年02月16日	citation:読み返してみると、書き急いで言葉足らずの文もありますが、	book:あかんたれ: 生かされて堺っ子/単行本/2002年/今村 早智子/238/文芸社	explanation:〔他ガ五〕早く終えようと急いで書く。	comment:コメント：「〜急ぐ」の中では多い方だと思います。	reply:第２版では、立項されませんでした。
title:すすぎおとす【濯落・洒落・滌落】	type:［新項目］	date:2013年02月16日	citation:水道水の流水中で洗剤をすすぎ落とし	book:消化器内視鏡技師のためのハンドブック/単行本/2007年/日本消化器内視鏡学会消化器内視鏡技師制度委員会/141/医学図書出版	explanation:〔他サ五〕すすいで汚れなどを流し去る。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:なげおく【投置】	type:［新項目］	date:2013年02月16日	citation:藁投げ置く場所も其作法による事尤なり、	book:農家経営の根本/単行本/1935年/松本喜作/443/楽浪書院	explanation:〔他カ五〕投げて置いておく。	comment:コメント：そのままの意味ですが。	reply:第２版では、立項されませんでした。
